order_id,customer_id,product_id,quantity,unit_price,order_ts,status
O2026080100100,C0071,P004,3.0,349.0,2026-08-01 11:01:00,COMPLETED
O2026080100101,C0057,P008,1.0,42.3,2026-08-01 04:09:00,COMPLETED
O2026080100102,C0014,P003,2.0,34.5,2026-08-01 01:46:00,COMPLETED
O2026080100103,C0020,P010,1.0,54.99,2026-08-01 04:13:00,COMPLETED
O2026080100104,C0004,P007,-1.0,15.0,2026-08-01 07:59:00,COMPLETED
O2026080100105,C0054,P010,2.0,54.99,2026-08-01 22:38:00,COMPLETED
O2026080100106,C0005,P005,1.0,219.0,2026-08-01 02:13:00,
O2026080100107,C0043,P003,2.0,34.5,2026-08-01 05:55:00,COMPLETED
O2026080100108,C0072,P007,1.0,15.0,2026-08-01 11:20:00,CANCELLED
O2026080100109,C0033,P010,1.0,54.99,2026-08-01 20:00:00,COMPLETED
O2026080100110,C0004,P003,3.0,34.5,2026-08-01 08:15:00,CANCELLED
O2026080100111,C0077,P003,1.0,34.5,2026-08-01 11:24:00,COMPLETED
O2026080100112,C0011,P003,2.0,34.5,2026-08-01 13:23:00,CANCELLED
O2026080100113,C0048,P006,3.0,12.75,2026-08-01 03:53:00,CANCELLED
O2026080100114,C0001,P004,3.0,349.0,2026-08-01 19:42:00,COMPLETED
O2026080100115,C0009,P007,3.0,15.0,2026-08-01 02:32:00,CANCELLED
O2026080100116,C0006,P005,2.0,219.0,2026-08-01 13:05:00,COMPLETED
O2026080100117,C0076,P006,-1.0,12.75,2026-08-01 20:55:00,
O2026080100118,C0011,P008,1.0,42.3,2026-08-01 10:24:00,
O2026080100119,C0027,P001,2.0,19.99,2026-08-01 03:17:00,COMPLETED
O2026080100120,C0076,P005,-1.0,219.0,2026-08-01 05:56:00,COMPLETED
O2026080100121,C0066,P001,3.0,19.99,2026-08-01 03:43:00,COMPLETED
O2026080100122,C0010,P008,-1.0,42.3,2026-08-01 23:48:00,
O2026080100123,C0045,P004,3.0,349.0,2026-08-01 03:38:00,
O2026080100124,C0009,P006,3.0,12.75,2026-08-01 01:32:00,COMPLETED
O2026080100125,C0037,P004,-1.0,349.0,2026-08-01 05:36:00,COMPLETED
O2026080100126,C0063,P002,1.0,89.99,2026-08-01 23:36:00,COMPLETED
O2026080100127,C0011,P008,1.0,42.3,2026-08-01 08:01:00,COMPLETED
O2026080100128,C0074,P009,1.0,65.0,2026-08-01 02:47:00,CANCELLED
O2026080100129,C0076,P010,2.0,54.99,2026-08-01 06:06:00,CANCELLED
O2026080100130,C0037,P003,1.0,34.5,2026-08-01 21:11:00,
O2026080100131,C0014,P002,-1.0,89.99,2026-08-01 06:57:00,COMPLETED
O2026080100132,C0062,P008,1.0,42.3,2026-08-01 04:36:00,COMPLETED
O2026080100133,C0006,P009,1.0,65.0,2026-08-01 20:59:00,COMPLETED
O2026080100134,C0054,P002,1.0,89.99,2026-08-01 14:55:00,
O2026080100135,C0006,P008,3.0,42.3,2026-08-01 15:01:00,COMPLETED
O2026080100136,C0022,P003,3.0,34.5,2026-08-01 01:04:00,COMPLETED
O2026080100137,C0020,P003,-1.0,34.5,2026-08-01 17:16:00,COMPLETED
O2026080100138,C0026,P002,3.0,89.99,2026-08-01 10:29:00,COMPLETED
O2026080100139,C0075,P001,3.0,19.99,2026-08-01 06:36:00,COMPLETED
O2026080100140,C0051,P005,1.0,219.0,2026-08-01 02:07:00,COMPLETED
O2026080100141,C0020,P006,3.0,12.75,2026-08-01 07:07:00,COMPLETED
O2026080100142,C0001,P006,1.0,12.75,2026-08-01 15:44:00,COMPLETED
O2026080100143,C0009,P002,2.0,89.99,2026-08-01 02:47:00,COMPLETED
O2026080100144,C0017,P001,1.0,19.99,2026-08-01 23:30:00,CANCELLED
O2026080100145,C0046,P004,-1.0,349.0,2026-08-01 09:52:00,
O2026080100146,C0018,P004,3.0,349.0,2026-08-01 22:52:00,
O2026080100147,C0048,P005,-1.0,219.0,2026-08-01 17:46:00,COMPLETED
O2026080100148,C0005,P001,1.0,19.99,2026-08-01 16:51:00,
O2026080100149,C0055,P004,-1.0,349.0,2026-08-01 18:37:00,COMPLETED
O2026080100150,C0030,P006,-1.0,12.75,2026-08-01 12:09:00,
O2026080100151,C0038,P007,2.0,15.0,2026-08-01 03:26:00,COMPLETED
O2026080100152,C0066,P008,1.0,42.3,2026-08-01 21:54:00,
O2026080100153,C0047,P001,1.0,19.99,2026-08-01 23:31:00,COMPLETED
O2026080100154,C0024,P005,1.0,219.0,2026-08-01 02:40:00,COMPLETED
O2026080100155,C0028,P007,3.0,15.0,2026-08-01 18:29:00,CANCELLED
O2026080100156,C0061,P004,2.0,349.0,2026-08-01 23:21:00,COMPLETED
O2026080100157,C0057,P009,1.0,65.0,2026-08-01 03:45:00,COMPLETED
O2026080100158,C0080,P004,3.0,349.0,2026-08-01 12:35:00,COMPLETED
O2026080100159,C0021,P006,1.0,12.75,2026-08-01 08:59:00,COMPLETED
O2026080100160,C0054,P001,2.0,19.99,2026-08-01 10:21:00,COMPLETED
O2026080100161,C0047,P008,1.0,42.3,2026-08-01 05:38:00,COMPLETED
O2026080100162,C0041,P009,2.0,65.0,2026-08-01 14:27:00,CANCELLED
O2026080100163,C0074,P003,1.0,34.5,2026-08-01 16:31:00,COMPLETED
O2026080100164,C0033,P008,2.0,42.3,2026-08-01 17:38:00,
O2026080100165,C0011,P010,1.0,54.99,2026-08-01 15:45:00,
O2026080100166,C0032,P005,2.0,219.0,2026-08-01 21:02:00,COMPLETED
O2026080100167,C0017,P002,3.0,89.99,2026-08-01 11:23:00,COMPLETED
O2026080100168,C0070,P002,3.0,89.99,2026-08-01 05:45:00,COMPLETED
O2026080100169,C0049,P009,1.0,65.0,2026-08-01 14:53:00,CANCELLED
O2026080100170,C0010,P007,2.0,15.0,2026-08-01 01:55:00,
O2026080100171,C0013,P009,1.0,65.0,2026-08-01 01:29:00,CANCELLED
O2026080100172,C0074,P001,1.0,19.99,2026-08-01 07:13:00,CANCELLED
O2026080100173,C0065,P010,2.0,54.99,2026-08-01 10:44:00,CANCELLED
O2026080100174,C0038,P001,3.0,19.99,2026-08-01 22:11:00,
O2026080100175,C0068,P007,1.0,15.0,2026-08-01 21:57:00,CANCELLED
O2026080100176,C0020,P006,1.0,12.75,2026-08-01 19:39:00,COMPLETED
O2026080100177,C0026,P004,1.0,349.0,2026-08-01 13:12:00,COMPLETED
O2026080100178,C0034,P006,1.0,12.75,2026-08-01 03:57:00,COMPLETED
O2026080100179,C0017,P007,3.0,15.0,2026-08-01 00:35:00,COMPLETED
O2026080100180,C0016,P006,1.0,12.75,2026-08-01 04:08:00,CANCELLED
O2026080100181,C0063,P006,2.0,12.75,2026-08-01 05:25:00,COMPLETED
O2026080100182,C0057,P009,2.0,65.0,2026-08-01 20:30:00,
O2026080100183,C0015,P004,2.0,349.0,2026-08-01 08:08:00,COMPLETED
O2026080100184,C0007,P002,,89.99,2026-08-01 11:12:00,COMPLETED
O2026080100185,C0020,P009,-1.0,65.0,2026-08-01 10:30:00,COMPLETED
O2026080100186,C0025,P006,1.0,12.75,2026-08-01 23:07:00,CANCELLED
O2026080100187,C0017,P002,1.0,89.99,2026-08-01 01:10:00,COMPLETED
O2026080100188,C0045,P003,1.0,34.5,2026-08-01 06:00:00,
O2026080100189,C0074,P003,-1.0,34.5,2026-08-01 03:37:00,CANCELLED
O2026080100190,C0039,P004,1.0,349.0,2026-08-01 07:08:00,COMPLETED
O2026080100191,C0060,P009,2.0,65.0,2026-08-01 17:27:00,CANCELLED
O2026080100192,C0020,P008,2.0,42.3,2026-08-01 13:11:00,COMPLETED
O2026080100193,C0020,P003,2.0,34.5,2026-08-01 23:14:00,COMPLETED
O2026080100194,C0006,P007,2.0,15.0,2026-08-01 15:08:00,COMPLETED
O2026080100195,C0052,P010,1.0,54.99,2026-08-01 16:42:00,COMPLETED
O2026080100196,C0040,P005,1.0,219.0,2026-08-01 15:42:00,COMPLETED
O2026080100197,C0008,P007,2.0,15.0,2026-08-01 17:03:00,CANCELLED
O2026080100198,C0002,P009,1.0,65.0,2026-08-01 11:14:00,
O2026080100199,C0028,P005,3.0,219.0,2026-08-01 11:09:00,
O2026080100200,C0012,P003,2.0,34.5,2026-08-01 13:00:00,
O2026080100201,C0011,P009,2.0,65.0,2026-08-01 05:00:00,CANCELLED
O2026080100202,C0041,P005,1.0,219.0,2026-08-01 10:33:00,COMPLETED
O2026080100203,C0015,P010,1.0,54.99,2026-08-01 08:58:00,COMPLETED
O2026080100204,C0049,P005,1.0,219.0,2026-08-01 08:57:00,COMPLETED
O2026080100205,C0044,P008,1.0,42.3,2026-08-01 15:19:00,COMPLETED
O2026080100206,C0046,P004,3.0,349.0,2026-08-01 14:01:00,COMPLETED
O2026080100207,C0060,P008,1.0,42.3,2026-08-01 06:55:00,
O2026080100208,C0049,P006,1.0,12.75,2026-08-01 20:58:00,COMPLETED
O2026080100209,C0075,P004,1.0,349.0,2026-08-01 08:37:00,COMPLETED
O2026080100210,C0052,P003,1.0,34.5,2026-08-01 18:40:00,COMPLETED
O2026080100211,C0076,P005,2.0,219.0,2026-08-01 16:20:00,COMPLETED
O2026080100212,C0058,P001,2.0,19.99,2026-08-01 08:59:00,
O2026080100213,C0044,P009,1.0,65.0,2026-08-01 17:16:00,COMPLETED
O2026080100214,C0059,P006,3.0,12.75,2026-08-01 03:53:00,COMPLETED
O2026080100215,C0049,P010,1.0,54.99,2026-08-01 17:26:00,COMPLETED
O2026080100216,C0074,P006,1.0,12.75,2026-08-01 01:07:00,COMPLETED
O2026080100217,C0033,P007,-1.0,15.0,2026-08-01 20:00:00,CANCELLED
O2026080100218,C0011,P006,-1.0,12.75,2026-08-01 14:23:00,COMPLETED
O2026080100219,C0024,P009,-1.0,65.0,2026-08-01 21:31:00,CANCELLED
O2026080100220,C0070,P007,-1.0,15.0,2026-08-01 21:43:00,CANCELLED
O2026080100221,C0002,P002,1.0,89.99,2026-08-01 15:07:00,
O2026080100222,C0044,P005,2.0,219.0,2026-08-01 08:08:00,
O2026080100223,C0061,P010,-1.0,54.99,2026-08-01 08:28:00,COMPLETED
O2026080100224,C0022,P006,1.0,12.75,2026-08-01 12:21:00,COMPLETED
O2026080100225,C0080,P006,3.0,12.75,2026-08-01 17:04:00,COMPLETED
O2026080100226,C0020,P007,2.0,15.0,2026-08-01 08:26:00,CANCELLED
O2026080100227,C0040,P001,2.0,19.99,2026-08-01 08:12:00,COMPLETED
O2026080100228,C0044,P007,2.0,15.0,2026-08-01 12:48:00,CANCELLED
O2026080100229,C0053,P006,1.0,12.75,2026-08-01 05:10:00,COMPLETED
O2026080100230,C0038,P001,2.0,19.99,2026-08-01 10:00:00,COMPLETED
O2026080100231,C0020,P005,2.0,219.0,2026-08-01 00:11:00,
O2026080100232,C0080,P002,1.0,89.99,2026-08-01 18:57:00,COMPLETED
O2026080100233,C0076,P003,1.0,34.5,2026-08-01 16:19:00,CANCELLED
O2026080100234,C0044,P003,1.0,34.5,2026-08-01 22:46:00,COMPLETED
O2026080100235,C0031,P009,-1.0,65.0,2026-08-01 17:43:00,COMPLETED
O2026080100236,C0046,P009,3.0,65.0,2026-08-01 22:37:00,COMPLETED
O2026080100237,C0035,P009,1.0,65.0,2026-08-01 05:51:00,CANCELLED
O2026080100238,C0034,P003,1.0,34.5,2026-08-01 06:23:00,COMPLETED
O2026080100239,C0042,P003,2.0,34.5,2026-08-01 16:12:00,COMPLETED
O2026080100240,C0024,P008,1.0,42.3,2026-08-01 19:34:00,
O2026080100241,C0029,P002,3.0,89.99,2026-08-01 04:57:00,COMPLETED
O2026080100242,C0069,P006,1.0,12.75,2026-08-01 12:23:00,CANCELLED
O2026080100243,C0028,P008,1.0,42.3,2026-08-01 11:38:00,CANCELLED
O2026080100244,C0074,P003,1.0,34.5,2026-08-01 21:22:00,COMPLETED
O2026080100245,C0079,P002,2.0,89.99,2026-08-01 22:15:00,
O2026080100246,C0033,P002,1.0,89.99,2026-08-01 18:31:00,COMPLETED
O2026080100247,C0068,P001,1.0,19.99,2026-08-01 22:58:00,
O2026080100248,C0064,P010,-1.0,54.99,2026-08-01 02:07:00,COMPLETED
O2026080100249,C0001,P002,1.0,89.99,2026-08-01 15:53:00,
O2026080100250,C0048,P010,3.0,54.99,2026-08-01 05:57:00,
O2026080100251,C0069,P006,1.0,12.75,2026-08-01 01:52:00,COMPLETED
O2026080100252,C0040,P001,1.0,19.99,2026-08-01 04:53:00,COMPLETED
O2026080100253,C0017,P007,1.0,15.0,2026-08-01 22:17:00,COMPLETED
O2026080100254,C0026,P001,,19.99,2026-08-01 03:14:00,
O2026080100255,C0067,P003,1.0,34.5,2026-08-01 01:21:00,
O2026080100256,C0067,P006,,12.75,2026-08-01 20:30:00,COMPLETED
O2026080100257,C0040,P008,3.0,42.3,2026-08-01 08:48:00,COMPLETED
O2026080100258,C0011,P009,1.0,65.0,2026-08-01 05:25:00,COMPLETED
O2026080100259,C0041,P010,,54.99,2026-08-01 10:17:00,COMPLETED
O2026080100260,C0043,P007,1.0,15.0,2026-08-01 06:29:00,COMPLETED
O2026080100261,C0062,P002,3.0,89.99,2026-08-01 02:21:00,CANCELLED
O2026080100262,C0046,P008,1.0,42.3,2026-08-01 13:25:00,COMPLETED
O2026080100263,C0062,P010,1.0,54.99,2026-08-01 05:44:00,
O2026080100264,C0067,P008,1.0,42.3,2026-08-01 06:16:00,
O2026080100265,C0016,P004,3.0,349.0,2026-08-01 14:50:00,
O2026080100266,C0051,P007,2.0,15.0,2026-08-01 21:13:00,COMPLETED
O2026080100267,C0062,P002,1.0,89.99,2026-08-01 00:55:00,
O2026080100268,C0038,P009,1.0,65.0,2026-08-01 03:16:00,
O2026080100269,C0053,P010,1.0,54.99,2026-08-01 14:07:00,COMPLETED
O2026080100270,C0030,P004,1.0,349.0,2026-08-01 04:32:00,COMPLETED
O2026080100271,C0025,P008,3.0,42.3,2026-08-01 16:22:00,
O2026080100272,C0007,P002,1.0,89.99,2026-08-01 20:26:00,COMPLETED
O2026080100273,C0025,P010,2.0,54.99,2026-08-01 15:01:00,
O2026080100274,C0059,P008,1.0,42.3,2026-08-01 16:35:00,CANCELLED
O2026080100275,C0080,P004,1.0,349.0,2026-08-01 08:10:00,COMPLETED
O2026080100276,C0054,P010,-1.0,54.99,2026-08-01 04:06:00,CANCELLED
O2026080100277,C0006,P006,3.0,12.75,2026-08-01 00:56:00,COMPLETED
O2026080100278,C0026,P001,1.0,19.99,2026-08-01 17:53:00,COMPLETED
O2026080100279,C0076,P006,2.0,12.75,2026-08-01 09:27:00,
O2026080100280,C0019,P007,1.0,15.0,2026-08-01 15:58:00,CANCELLED
O2026080100281,C0027,P004,1.0,349.0,2026-08-01 03:50:00,CANCELLED
O2026080100282,C0063,P009,2.0,65.0,2026-08-01 09:06:00,CANCELLED
O2026080100283,C0047,P010,2.0,54.99,2026-08-01 07:08:00,COMPLETED
O2026080100284,C0030,P006,-1.0,12.75,2026-08-01 21:56:00,CANCELLED
O2026080100285,C0056,P002,1.0,89.99,2026-08-01 13:41:00,
O2026080100286,C0068,P005,1.0,219.0,2026-08-01 14:07:00,COMPLETED
O2026080100287,C0026,P008,3.0,42.3,2026-08-01 18:16:00,CANCELLED
O2026080100288,C0075,P010,3.0,54.99,2026-08-01 14:12:00,COMPLETED
O2026080100289,C0080,P002,2.0,89.99,2026-08-01 01:17:00,COMPLETED
O2026080100290,C0053,P009,1.0,65.0,2026-08-01 15:02:00,CANCELLED
O2026080100291,C0042,P007,-1.0,15.0,2026-08-01 09:26:00,COMPLETED
O2026080100292,C0071,P005,3.0,219.0,2026-08-01 03:56:00,
O2026080100293,C0007,P007,1.0,15.0,2026-08-01 08:34:00,CANCELLED
O2026080100294,C0025,P004,2.0,349.0,2026-08-01 07:02:00,COMPLETED
O2026080100295,C0038,P005,2.0,219.0,2026-08-01 15:40:00,COMPLETED
O2026080100296,C0061,P005,2.0,219.0,2026-08-01 12:11:00,CANCELLED
O2026080100297,C0051,P005,1.0,219.0,2026-08-01 09:33:00,CANCELLED
O2026080100298,C0066,P001,3.0,19.99,2026-08-01 15:38:00,
O2026080100299,C0056,P006,1.0,12.75,2026-08-01 07:54:00,CANCELLED
